ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM 
com.ntou.APIApplication,2,0,0,3,5,1,0,1
com.ntou.db.api.findbycidandcardtype.GetCardHolder,3,1,0,13,31,0,0,2
com.ntou.db.api.findbycidandcardtype.GetCardHolderController,3,1,0,5,11,0,0,3
com.ntou.db.api.findbycidandcardtype.GetCardHolderRC,7,2,0,1,10,13,0,4
com.ntou.db.api.findbycidandcardtype.GetCardHolderReq,12,1,0,2,18,38,0,11
com.ntou.db.api.findbycidandcardtype.GetCardHolderRes,3,0,0,2,4,1,0,3
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolder,3,1,0,13,33,0,0,2
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderController,3,1,0,5,13,0,0,3
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRC,7,2,0,1,10,13,0,4
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderReq,16,1,0,2,22,72,0,15
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRes,3,0,0,2,4,1,0,3
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderService,2,1,0,2,4,0,0,2
com.ntou.db.api.savecuscredit.CreateCuscredit,4,1,0,15,88,2,0,2
com.ntou.db.api.savecuscredit.CreateCuscreditController,3,1,0,5,8,0,0,3
com.ntou.db.api.savecuscredit.CreateCuscreditRC,7,2,0,1,10,13,0,4
com.ntou.db.api.savecuscredit.CreateCuscreditReq,58,1,0,2,64,1395,0,57
com.ntou.db.api.savecuscredit.CreateCuscreditRes,3,0,0,2,4,1,0,3
com.ntou.db.api.updateactivationrecord.UpdateActivationRecord,4,1,0,14,35,2,0,2
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordController,3,1,0,5,8,0,0,3
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordRC,7,2,0,1,10,13,0,4
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordReq,12,1,0,2,18,38,0,11
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordRes,1,0,0,1,2,0,0,1
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatus,4,1,0,13,43,2,0,2
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusController,3,1,0,5,8,0,0,3
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusRC,7,2,0,1,10,13,0,4
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusReq,22,1,0,2,28,173,0,21
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusRes,1,0,0,1,2,0,0,1
