ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM 
com.ntou.APIApplication,2,1,0,2,4,1,0,2
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,2
com.ntou.db.api.findcusbill.FindCusBill,4,1,0,17,31,4,0,2
com.ntou.db.api.findcusbill.FindCusBillController,2,1,0,4,6,1,0,2
com.ntou.db.api.findcusbill.FindCusBillRC,7,2,0,1,10,13,0,4
com.ntou.db.api.findcusbill.FindCusBillReq,5,1,0,0,6,10,0,4
com.ntou.db.api.findcusbill.FindCusBillRes,3,0,0,1,4,1,0,3
com.ntou.db.api.findcusbillall.FindCusBillAll,4,1,0,17,37,4,0,2
com.ntou.db.api.findcusbillall.FindCusBillAllController,2,1,0,4,10,1,0,2
com.ntou.db.api.findcusbillall.FindCusBillAllRC,7,2,0,1,10,13,0,4
com.ntou.db.api.findcusbillall.FindCusBillAllReq,16,1,0,2,22,72,0,15
com.ntou.db.api.findcusbillall.FindCusBillAllRes,3,0,0,1,4,1,0,3
com.ntou.db.api.insertcusdatebill.InsertCusDateBill,4,1,0,17,62,4,0,2
com.ntou.db.api.insertcusdatebill.InsertCusDateBillController,2,1,0,4,5,1,0,2
com.ntou.db.api.insertcusdatebill.InsertCusDateBillRC,7,2,0,1,10,13,0,4
com.ntou.db.api.insertcusdatebill.InsertCusDateBillReq,36,1,0,2,42,482,0,35
com.ntou.db.api.insertcusdatebill.InsertCusDateBillRes,3,0,0,1,4,1,0,3
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlag,4,1,0,17,32,4,0,2
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagController,2,1,0,4,5,1,0,2
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagRC,7,2,0,1,10,13,0,4
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagReq,10,1,0,2,16,27,0,9
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagRes,1,0,0,1,2,0,0,1
