ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM 
com.ntou.APIApplication,2,1,0,2,4,1,0,2
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,2
com.ntou.creditcard.BaseController,1,1,0,0,2,0,0,1
com.ntou.creditcard.billing.feepayment.FeePayment,5,1,0,21,61,8,0,2
com.ntou.creditcard.billing.feepayment.FeePaymentController,2,1,0,5,5,1,0,2
com.ntou.creditcard.billing.feepayment.FeePaymentRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,76,0,15
com.ntou.creditcard.billing.feepayment.FeePaymentRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.billing.generatebill.GenerateBill,6,1,0,23,88,13,0,2
com.ntou.creditcard.billing.generatebill.GenerateBillController,2,0,0,6,5,1,0,2
com.ntou.creditcard.billing.generatebill.GenerateBillRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.billing.generatebill.GenerateBillReq,12,1,0,2,18,38,0,11
com.ntou.creditcard.billing.generatebill.GenerateBillRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.billing.generatebill.GenerateBillTask,3,1,0,4,7,1,0,2
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,17,32,4,0,2
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,2,1,0,4,5,1,0,2
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,27,0,9
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.management.activation.Activation,3,1,0,20,37,1,0,2
com.ntou.creditcard.management.activation.ActivationController,2,1,0,4,5,1,0,2
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,38,0,11
com.ntou.creditcard.management.activation.ActivationRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.management.application.Application,5,1,0,21,94,8,0,2
com.ntou.creditcard.management.application.ApplicationController,2,1,0,4,5,1,0,2
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,1395,0,57
com.ntou.creditcard.management.application.ApplicationRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.management.review.Review,7,1,0,21,60,19,0,4
