ClassName,WMC,DIT,NOC,CBO,RFC,¼Ò²Õ¥­§¡RFC,LCOM,Ca,NPM ,89
com.ntou.APIApplication,5,0,0,14,26,,0,0,3,
com.ntou.creditcard.billing.feepayment.FeePayment,5,1,0,17,61,22.5 ,4,0,2,
com.ntou.creditcard.billing.feepayment.FeePaymentController,3,1,0,8,10,,0,0,3,
com.ntou.creditcard.billing.feepayment.FeePaymentRC,7,2,0,1,10,,13,0,4,
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,,76,0,15,
com.ntou.creditcard.billing.feepayment.FeePaymentRes,1,0,0,1,2,,0,0,1,
com.ntou.creditcard.billing.generatebill.GenerateBill,7,1,0,25,94,,13,0,3,
com.ntou.creditcard.billing.generatebill.GenerateBillController,3,1,0,10,12,,0,0,3,
com.ntou.creditcard.billing.generatebill.GenerateBillRC,7,2,0,1,10,,13,0,4,
com.ntou.creditcard.billing.generatebill.GenerateBillReq,12,1,0,2,18,,38,0,11,
com.ntou.creditcard.billing.generatebill.GenerateBillRes,1,0,0,1,2,,0,0,1,
com.ntou.creditcard.billing.generatebill.GenerateBillTask,2,1,0,3,7,,1,0,2,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,13,32,13.6 ,2,0,2,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,3,1,0,5,8,,0,0,3,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRC,7,2,0,1,10,,13,0,4,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,,27,0,9,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRes,1,0,0,1,2,,0,0,1,
com.ntou.creditcard.management.activation.Activation,4,1,0,17,44,24.3 ,2,0,2,
com.ntou.creditcard.management.activation.ActivationController,3,1,0,5,8,,0,0,3,
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,,13,0,4,
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,,38,0,11,
com.ntou.creditcard.management.activation.ActivationRes,1,0,0,1,2,,0,0,1,
com.ntou.creditcard.management.application.Application,5,1,0,17,95,,6,0,2,
com.ntou.creditcard.management.application.ApplicationController,3,1,0,5,8,,0,0,3,
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,,13,0,4,
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,,1395,0,57,
com.ntou.creditcard.management.application.ApplicationRes,1,0,0,1,2,,0,0,1,
com.ntou.creditcard.management.review.Review,7,1,0,17,61,,17,0,4,
com.ntou.creditcard.management.review.ReviewController,3,1,0,5,8,,0,0,3,
com.ntou.creditcard.management.review.ReviewRC,7,2,0,1,10,,13,0,4,
