ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,3,5,1,0,3,1,1,19,1,0,1,1,0,0,8,0.078947368
,,,,,,,,,,,,,,,,,,,
com.ntou.connections.ConsulServiceDiscovery,6,1,0,4,46,11,0,4,3,0.75,206,1,0,0,0.5,0,0,32.6667,0.003236246
,,,,,,,,,,,,,,,,,,,
com.ntou.connections.OkHttpServiceClient,5,1,0,12,29,0,0,12,4,0.25,231,1,0,0,0.75,0,0,44.8,0.01038961
,,,,,,,,,,,,,,,,,,,
com.ntou.connections.tools.ConnectingTool,5,1,0,5,13,0,0,5,4,0.25,57,1,0,0,0.5,0,0,10.2,0.01754386
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.BilliingURL,3,1,0,3,7,3,0,3,2,1,23,1,0,0,1,0,0,6.3333,0.043478261
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePayment,3,1,0,11,23,0,0,11,2,0.5,66,0.5,0,0,0.75,0,0,20.3333,0.055555556
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,76,0,2,15,0.6933,294,1,0,0,0.4792,1,1,17.0625,0.00042517
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.DisputeURL,3,1,0,3,7,3,0,3,2,1,23,1,0,0,1,0,0,6.3333,0.043478261
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,3,1,0,11,23,0,0,11,2,0.5,66,0.5,0,0,0.75,0,0,20.3333,0.055555556
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,27,0,2,9,0.5,140,1,0,0,0.4667,1,1,12.8,0.001428571
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.ManagementURL,3,1,0,3,7,3,0,3,2,1,23,1,0,0,1,0,0,6.3333,0.043478261
,,,,,,,,,,,,,,,,,,,
