ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,3,5,1,0,3,1,1,19,1,0,1,1,0,0,8,0.078947368
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBill,4,1,0,13,40,2,0,13,2,0.6667,119,1,0,0,0.6667,0,0,28.25,0.027310924
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillController,3,1,0,5,12,0,0,5,3,0,42,1,0,0,0.5556,0,0,12.6667,0.03968254
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillReq,14,1,0,2,20,53,0,2,13,0.6346,250,1,0,0,0.4762,1,1,16.5714,0.000571429
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBill,4,1,0,13,52,2,0,13,2,0.6667,147,1,0,0,0.6667,0,0,35.25,0.022108844
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillController,3,1,0,5,8,0,0,5,3,0,29,1,0,0,0.5556,0,0,8.3333,0.057471264
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillReq,18,1,0,2,24,107,0,2,17,0.7451,327,1,0,0,0.4815,1,1,16.8333,0.000339789
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDate,4,1,0,13,40,2,0,13,2,0.6667,120,1,0,0,0.6667,0,0,28.5,0.027083333
,,,,,,,,,,,,,,,,,,,
