ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,3,5,1,0,3,1,1,19,1,0,1,1,0,0,8,0.078947368
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBill,4,1,0,13,32,2,0,13,2,0.6667,95,1,0,0,0.5556,0,0,22.25,0.034210526
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillController,3,1,0,5,9,0,0,5,3,0,33,1,0,0,0.6667,0,0,9.6667,0.050505051
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillReq,5,1,0,0,6,10,0,0,4,2,38,0,0,0,0.7,1,1,6.6,0
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAll,4,1,0,13,38,2,0,13,2,0.6667,114,1,0,0,0.6667,0,0,27,0.028508772
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllController,3,1,0,5,13,0,0,5,3,0,45,1,0,0,0.5556,0,0,13.6667,0.037037037
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBill,4,1,0,13,63,2,0,13,2,0.6667,162,1,0,0,0.6667,0,0,39,0.020061728
,,,,,,,,,,,,,,,,,,,
