ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,3,5,1,0,3,1,1,19,1,0,1,1,0,0,8,0.078947368
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolder,3,1,0,13,31,0,0,13,2,0.5,95,1,0,0,0.6667,0,0,30,0.045614035
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderController,3,1,0,5,11,0,0,5,3,0,39,1,0,0,0.5556,0,0,11.6667,0.042735043
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderRes,3,2,0,2,4,1,0,2,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolder,3,1,0,13,33,0,0,13,2,0.5,99,1,0,0,0.6667,0,0,31.3333,0.043771044
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderController,3,1,0,5,13,0,0,5,3,0,45,1,0,0,0.5556,0,0,13.6667,0.037037037
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRes,3,2,0,2,4,1,0,2,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.047619048
,,,,,,,,,,,,,,,,,,,
