ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,4,6,1,0,4,1,1,22,1,0,1,1,0,0,9.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.HealthCheckResource,2,1,0,0,5,1,0,0,2,2,9,0,0,0,1,0,0,3.5,0
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,14,35,2,0,14,2,0.6667,114,0.6667,0,0,0.8333,0,0,26.75,0.030701754
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,27,0,2,9,0.5,140,1,0,0,0.4667,1,1,12.8,0.001428571
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,4,1.571428571,0,3.428571429,11.28571429,6.428571429,0,3.428571429,3,1.278914286,56.28571429,0.442185714,0.714285714,0.392857143,0.769042857,0.285714286,0.285714286,10.21122857,0.066495466
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
