ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,4,6,1,0,4,1,1,22,1,0,1,1,0,0,9.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.HealthCheckResource,2,1,0,0,5,1,0,0,2,2,9,0,0,0,1,0,0,3.5,0
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.Activation,4,1,0,18,47,2,0,18,2,0.6667,166,0.6667,0,0,0.8333,0,0,39.75,0.027108434
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.Application,5,1,0,18,98,6,0,18,2,0.75,266,0.6667,0,0,0.875,0,0,51.6,0.013533835
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,1395,0,2,57,0.913,1460,1,0,0,0.4943,1,1,23.7241,2.36183E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.Review,7,1,0,18,63,17,0,18,4,0.8333,345,0.6667,0,0,0.2917,0,0,47.8571,0.007453416
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
