ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,3,0,3,5,1,0,3,1,1,19,1,0,1,1,0,0,8,0.07895 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.Activation,4,1,0,18,47,2,0,18,2,0.6667,166,0.6667,0,0,0.8333,0,0,39.75,0.02711 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.09091 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.00152 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.00085 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25000 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.Application,5,1,0,18,98,6,0,18,2,0.75,266,0.6667,0,0,0.875,0,0,51.6,0.01353 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.09091 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.00134 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,1395,0,2,57,0.913,1460,1,0,0,0.4943,1,1,23.7241,0.00002 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25000 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.Review,7,1,0,18,63,17,0,18,4,0.8333,345,0.6667,0,0,0.2917,0,0,47.8571,0.00745 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewController,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.09091 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.00134 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.00041 
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25000 
,8.375,1.5,0,4.6875,23,98.3125,0,4.6875,7.0625,1.23674375,194.3125,0.44866875,1.0625,0.390625,0.668475,0.375,0.375,16.493475,0.07220 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.072203029
