ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM 
com.ntou.APIApplication,2,0,0,3,5,1,0,1
com.ntou.creditcard.transactions.transaction.Transaction,5,1,0,18,82,6,0,2
com.ntou.creditcard.transactions.transaction.TransactionController,2,1,0,2,5,1,0,2
com.ntou.creditcard.transactions.transaction.TransactionRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.transactions.transaction.TransactionReq,36,1,0,2,42,482,0,35
com.ntou.creditcard.transactions.transaction.TransactionRes,1,0,0,1,2,0,0,1
com.ntou.creditcard.transactions.transactionquery.TransactionQuery,4,1,0,15,40,2,0,2
com.ntou.creditcard.transactions.transactionquery.TransactionQueryController,2,1,0,2,10,1,0,2
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRC,7,2,0,1,10,13,0,4
com.ntou.creditcard.transactions.transactionquery.TransactionQueryReq,16,1,0,2,22,72,0,15
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRes,3,0,0,1,4,1,0,3
