ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,5,3,0,14,26,0,0,14,3,0.6875,99,0.5,0,0.9639,1,0,0,18,0.02828
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePayment,5,1,0,17,61,4,0,17,2,0.6667,201,1,0,0,0.5,0,0,38.6,0.01692
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentController,3,1,0,8,10,0,0,8,3,0,35,1,0,0,0.5556,0,0,10.3333,0.07619
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.00134
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,76,0,2,15,0.6933,294,1,0,0,0.4792,1,1,17.0625,0.00043
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBill,7,1,0,25,94,13,0,25,3,0.7083,324,1,0,0,0.2619,0,0,44.7143,0.01102
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillController,3,1,0,10,12,0,0,10,3,0,40,1,0,0,0.6667,0,0,12,0.08333
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.00152
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.00085
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillTask,2,1,0,3,7,1,0,3,2,2,22,0,0,0,0.75,0,0,10,0.06818
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,13,32,2,0,13,2,0.6667,103,1,0,0,0.6667,0,0,24.25,0.03155
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,3,1,0,5,8,0,0,5,3,0,29,1,0,0,0.5556,0,0,8.3333,0.05747
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.00152
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,27,0,2,9,0.5,140,1,0,0,0.4667,1,1,12.8,0.00143
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.Activation,4,1,0,17,44,2,0,17,2,0.6667,153,1,0,0,0.6667,0,0,36.75,0.02778
,,,,,,,,,,,,,,,,,,,
