ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,5,3,0,15,27,0,0,15,3,0.75,106,0.5,0,0.9639,1,0,0,19.4,0.028301887
,,,,,,,,,,,,,,,,,,,
com.ntou.db.ConnControl,6,1,0,2,23,7,0,2,5,0.85,114,0.5,0,0,0.4,0,0,17.3333,0.002923977
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billofmonth.BillofmonthDAO,7,2,0,5,44,0,0,5,6,0.9479,1021,0.0625,0,0.4444,0.9167,0,0,142.5714,0.000699594
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billofmonth.BillofmonthVO,35,1,0,1,40,453,0,1,34,0.8529,755,1,0,0,0.4952,1,1,20.1714,3.78E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordDAO,6,2,0,5,46,0,0,5,5,0.9556,828,0.0556,0,0.5,0.7333,0,0,134,0.001006441
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billrecord.BillrecordVO,39,1,0,1,44,579,0,1,38,0.8684,855,1,0,0,0.4957,1,1,20.5128,3.00E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditDAO,7,2,0,5,63,0,0,5,6,0.9762,1400,0.0286,0,0.4444,0.6111,0,0,194,0.000510204
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$ActivationRecord,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.002364066
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$CardApprovalStatus,9,2,0,2,18,22,0,2,5,0.7708,107,0.5,4,0.6818,0.2813,1,1,10.2222,0.002076843
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO$STATUS,9,2,0,2,18,22,0,2,5,0.75,94,0.6,3,0.6818,0.2813,1,1,8.8889,0.002364066
,,,,,,,,,,,,,,,,,,,
com.ntou.db.cuscredit.CuscreditVO,73,1,0,1,78,2296,0,1,72,0.9306,1705,1,0,0,0.4977,1,1,21.9041,8.03E-06
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_DateTimeParseException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_Exception,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_InvocationTargetException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_JsonMappingException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_JsonParseException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NotAllowedException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NotFoundException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_NullPointerException,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_TException,3,1,0,2,5,3,0,2,3,2,14,0,0,0,0.5556,0,0,3.6667,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_Throwable,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.75,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$EM_UnrecognizedPropertyException,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$IOExceptionMapper,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$JsonProcessingExceptionMapper,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$MismatchedInputExceptionMapper,3,1,0,3,5,3,0,3,3,2,16,0,0,0,0.5556,0,0,4.3333,0.0625
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$RC,7,2,0,1,10,13,0,1,4,0.8148,237,0.1667,16,0.75,0.3333,1,1,30.2857,0.000602773
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$ValidationExceptionMapper,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException$WebApplicationExceptionMapper,3,1,0,2,5,3,0,2,3,2,16,0,0,0,0.5556,0,0,4.3333,0.041666667
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.GlobalException,4,1,0,8,22,0,0,8,1,0.3333,76,1,0,0,0.3333,0,0,17.75,0.026315789
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.TException,1,3,0,2,4,0,0,2,1,2,18,0,0,1,1,0,0,14,0.111111111
,,,,,,,,,,,,,,,,,,,
com.ntou.spec.SvcRes,10,1,0,2,15,39,0,2,9,0.6667,162,1,0,0,0.4667,1,1,14.9,0.001234568
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0101001.SC0101001,5,1,0,17,96,8,0,17,2,0.75,251,1,0,0,0.875,0,0,49,0.013545817
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0101001.SC0101001Controller,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0101001.SC0101001RC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0101001.SC0101001Req,58,1,0,2,64,1395,0,2,57,0.913,1460,1,0,0,0.4943,1,1,23.7241,2.36E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0101001.SC0101001Res,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0102001.SC0102001,7,1,0,17,62,19,0,17,4,0.8333,330,1,0,0,0.2917,0,0,46,0.007359307
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0102001.SC0102001Controller,2,1,0,2,5,1,0,2,2,2,11,0,0,0,0.75,0,0,4.5,0.090909091
,,,,,,,,,,,,,,,,,,,
com.ntou.svc.SC0102001.SC0102001RC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
