ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.exceptions.TException,1,3,0,2,4,0,0,2,1,2,18,0,0,1,1,0,0,14,0.111111111
,,,,,,,,,,,,,,,,,,,
com.ntou.spec.SvcRes,10,1,0,2,15,39,0,2,9,0.6667,162,1,0,0,0.4667,1,1,14.9,0.001234568
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.Common,1,1,0,0,2,0,0,0,1,2,18,0,0,0,1,0,0,3,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.DateTool,5,1,0,0,15,10,0,0,5,2,52,0,0,0,0.2,0,0,9.4,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ExecutionTimer$ExecutionModule,9,2,0,2,18,22,0,2,5,0.7969,133,0.375,6,0.6818,0.2813,1,1,12.8889,0.001670844
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ExecutionTimer,7,1,0,3,38,0,0,3,4,0.5,209,1,0,0,0.3333,0,0,28.5714,0.002050581
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.JsonTool,7,1,0,6,15,1,0,6,5,0.5,54,1,0,0,0.2333,0,0,6.4286,0.015873016
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.RegexpTool,1,1,0,0,2,0,0,0,0,2,87,0,0,0,0,0,0,58,0
,,,,,,,,,,,,,,,,,,,
com.ntou.tool.ResTool,4,1,0,3,9,6,0,3,4,2,38,0,0,0,0.5833,0,0,8.5,0.019736842
,4.7,1.3,0,2,12.2,7.9,0,2,3.6,1.44636,78.1,0.3375,0.6,0.16818,0.45979,0.2,0.2,15.96889,0.025167696
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
