ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBill,4,1,0,17,39,4,0,17,2,0.6667,113,1,0,0,0.6667,0,0,27,0.037610619
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillController,2,1,0,4,9,1,0,4,2,1,27,0,0,0,0.75,0,0,12,0.074074074
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillReq,14,1,0,2,20,53,0,2,13,0.6346,250,1,0,0,0.4762,1,1,16.5714,0.000571429
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBill,4,1,0,17,50,4,0,17,2,0.6667,131,1,0,0,0.6667,0,0,31.5,0.032442748
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillReq,18,1,0,2,24,107,0,2,17,0.7451,327,1,0,0,0.4815,1,1,16.8333,0.000339789
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertbill.InsertBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDate,4,1,0,17,37,4,0,17,2,0.6667,109,1,0,0,0.6667,0,0,26,0.038990826
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDateController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDateRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDateReq,14,1,0,2,20,61,0,2,13,0.6731,228,1,0,0,0.4762,1,1,15,0.000626566
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatepaydate.UpdatePayDateRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,5.823529412,1.352941176,0,4.705882353,15.47058824,16.58823529,0,4.705882353,4.705882353,0.875664706,89.82352941,0.617647059,0.705882353,0.276741176,0.566376471,0.352941176,0.352941176,12.0224,0.041160088
