ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBill,4,1,0,17,31,4,0,17,2,0.6667,89,1,0,0,0.5556,0,0,21,0.047752809
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillController,2,1,0,4,6,1,0,4,2,1,18,0,0,0,1,0,0,7.5,0.111111111
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillReq,5,1,0,0,6,10,0,0,4,2,38,0,0,0,0.7,1,1,6.6,0
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbill.FindCusBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAll,4,1,0,17,37,4,0,17,2,0.6667,108,1,0,0,0.6667,0,0,25.75,0.039351852
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllController,2,1,0,4,10,1,0,4,2,1,30,0,0,0,0.75,0,0,13.5,0.066666667
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findcusbillall.FindCusBillAllRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBill,4,1,0,17,62,4,0,17,2,0.6667,155,1,0,0,0.6667,0,0,37.5,0.027419355
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBillController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBillRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBillReq,36,1,0,2,42,482,0,2,35,0.859,855,1,0,0,0.4907,1,1,22.3333,6.49773E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.insertcusdatebill.InsertCusDateBillRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlag,4,1,0,17,32,4,0,17,2,0.6667,99,1,0,0,0.6667,0,0,23.5,0.042929293
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagReq,10,1,0,2,16,27,0,2,9,0.5,140,1,0,0,0.4667,1,1,12.8,0.001428571
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatedisputedflag.UpdateDisputedFlagRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,6.090909091,1.363636364,0,4.681818182,15.45454545,30.45454545,0,4.681818182,4.954545455,0.968954545,102.9090909,0.545454545,0.727272727,0.293390909,0.600909091,0.363636364,0.363636364,11.83744091,0.050180163
