ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePayment,5,1,0,22,63,2,0,22,2,0.625,213,1,0,0,0.55,0,0,41.2,0.020657277
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentController,2,1,0,5,5,1,0,5,2,1,17,0,0,0,0.75,0,0,6.5,0.147058824
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,76,0,2,15,0.6933,294,1,0,0,0.4792,1,1,17.0625,0.00042517
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBill,6,1,0,24,87,11,0,24,2,0.8,297,1,0,0,0.2857,0,0,48.1667,0.013468013
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillController,2,2,0,6,5,1,0,6,2,1,19,0,0,0,1,0,0,7,0.157894737
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillTask,3,1,0,4,7,1,0,4,2,0.75,23,1,0,0,1,0,0,6,0.057971014
,5.153846154,1.384615385,0,5.692307692,18.69230769,12.30769231,0,5.692307692,3.846153846,1.155961538,100.6923077,0.442307692,0.923076923,0.269230769,0.626776923,0.307692308,0.307692308,14.04217692,0.08104858
