ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,18,33,2,0,18,2,0.6667,106,1,0,0,0.6667,0,0,25,0.04245283
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationReq,10,1,0,2,16,27,0,2,9,0.5,140,1,0,0,0.4667,1,1,12.8,0.001428571
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,4.142857143,1.285714286,0,4.428571429,11.14285714,6.714285714,0,4.428571429,3.142857143,1.278914286,55.28571429,0.346942857,0.714285714,0.25,0.594442857,0.285714286,0.285714286,9.580271429,0.08441284
