ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.Activation,4,1,0,22,45,2,0,22,2,0.6667,157,1,0,0,0.6667,0,0,37.75,0.035031847
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.activation.ActivationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.Application,5,1,0,22,96,6,0,22,2,0.75,257,1,0,0,0.6667,0,0,50,0.017120623
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationReq,58,1,0,2,64,1395,0,2,57,0.913,1460,1,0,0,0.4943,1,1,23.7241,2.36183E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.application.ApplicationRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.Review,7,1,0,22,61,17,0,22,4,0.8333,336,1,0,0,0.2667,0,0,46.7143,0.009353741
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.management.review.ReviewRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,8.058823529,1.352941176,0,5.588235294,21.70588235,92.70588235,0,5.588235294,6.823529412,1.163994118,182.4117647,0.422270588,1,0.308823529,0.602358824,0.352941176,0.352941176,15.49918235,0.082246315
