ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.Transaction,4,1,0,22,73,2,0,22,2,0.6667,213,1,0,0,0.5833,0,0,51.75,0.025821596
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionController,2,1,0,5,5,1,0,5,2,1,17,0,0,0,0.75,0,0,6.5,0.147058824
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionReq,36,1,0,2,42,482,0,2,35,0.859,855,1,0,0,0.4907,1,1,22.3333,6.49773E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQuery,4,1,0,19,38,2,0,19,2,0.6667,123,1,0,0,0.6667,0,0,29.25,0.038617886
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryController,2,1,0,4,10,1,0,4,2,1,30,0,0,0,0.75,0,0,13.5,0.066666667
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.023809524
,7.25,1.333333333,0,5.25,19,49.25,0,5.25,6.166666667,1.07915,149.25,0.483633333,0.916666667,0.276516667,0.583133333,0.333333333,0.333333333,15.11011667,0.058994647
