ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.BaseController,1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePayment,5,1,0,21,61,8,0,21,2,0.75,185,1,0,0,0.55,0,0,35.8,0.022702703
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentController,2,1,0,5,5,1,0,5,2,1,17,0,0,0,0.75,0,0,6.5,0.147058824
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.001335113
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentReq,16,1,0,2,22,76,0,2,15,0.6933,294,1,0,0,0.4792,1,1,17.0625,0.00042517
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.feepayment.FeePaymentRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBill,6,1,0,23,88,13,0,23,2,0.8,274,1,0,0,0.2857,0,0,44.5,0.013990268
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillController,2,2,0,6,5,1,0,6,2,1,19,0,0,0,1,0,0,7,0.157894737
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.billing.generatebill.GenerateBillTask,3,1,0,4,7,1,0,4,2,0.75,23,1,0,0,1,0,0,6,0.057971014
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotation,4,1,0,17,32,4,0,17,2,0.6667,99,1,0,0,0.6667,0,0,23.5,0.042929293
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.dispute.disputenotation.DisputeNotationController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
